date,amount,direction,description,counterparty,category
2026-01-01,20000,in,Sales payment,Customer A,Sales
2026-01-02,1000,out,Office expense,Supplier A,Expense
2026-01-03,2000,out,Office expense,Supplier A,Expense
2026-01-04,1000,out,Office expense,Supplier A,Expense
2026-01-05,20000,in,Sales payment,Customer A,Sales
2026-01-06,1000,out,Office expense,Supplier A,Expense
2026-01-07,100000,out,Large transfer,Unknown,Other
2026-01-08,5000,out,Office expense,Supplier A,Expense
2026-01-09,20000,in,Sales payment,Customer A,Sales
2026-01-10,1000,out,Office expense,Supplier A,Expense
