date,amount,direction,description,counterparty,category,account,txn_id,balance
2022-01-01,802,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00001,15802
2022-01-02,970,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00002,16772
2022-01-03,888,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00003,17660
2022-01-04,821,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00004,18481
2022-01-04,430,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00005,18051
2022-01-05,787,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00006,18838
2022-01-06,1059,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00007,19897
2022-01-07,849,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00008,20746
2022-01-07,443,debit,Rent Payment,,Operating Expense,Checking Account,TX00009,20303
2022-01-08,1113,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00010,21416
2022-01-09,891,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00011,22307
2022-01-10,860,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00012,23167
2022-01-11,721,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00013,23888
2022-01-11,444,debit,Bakery Payment,,COGS,Checking Account,TX00014,23444
2022-01-12,1174,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00015,24618
2022-01-13,869,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00016,25487
2022-01-13,287,debit,Utility Bill Payment,,Operating Expense,Checking Account,TX00017,25200
2022-01-14,1063,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00018,26263
2022-01-15,1019,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00019,27282
2022-01-16,1184,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00020,28466
2022-01-17,720,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00021,29186
2022-01-18,973,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00022,30159
2022-01-19,1015,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00023,31174
2022-01-20,964,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00024,32138
2022-01-20,485,debit,Rent Payment,,Operating Expense,Checking Account,TX00025,31653
2022-01-21,791,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00026,32444
2022-01-22,1154,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00027,33598
2022-01-23,963,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00028,34561
2022-01-23,305,debit,Bakery Payment,,COGS,Checking Account,TX00029,34256
2022-01-24,1119,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00030,35375
2022-01-24,487,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00031,34888
2022-01-25,1089,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00032,35977
2022-01-26,959,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00033,36936
2022-01-26,290,debit,Coffee Supplier Payment,,COGS,Checking Account,TX00034,36646
2022-01-27,917,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00035,37563
2022-01-28,901,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00036,38464
2022-01-29,969,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00037,39433
2022-01-30,970,credit,Daily Sales Deposit,,Sales Revenue,Checking Account,TX00038,40403
2022-01-30,314,debit,Rent Payment,,Operating Expense,Checking Account,TX00039,40089
